title,year
Kate & Leopold,2001
The Other Side of the Wind,2018
November 1828,2001
Abhimanyu,1991
El heroob,1991
Crime and Punishment,2002
Vita da cane,1992
Kadhalan,1994
Afganskiy izlom,1991
Le brasier,1991
Die Zimbern,1991
Da Jue Zhan II: Huai Hai Zhan Yi,1991
Da Jue Zhan III: Ping Jin Zhan Yi,1992
Disha,1992
Erfolg,1991
Flight of the Intruder,1991
A Idade Maior,1991
Jen o rodinných zálezitostech,1991
Palama Yata,1991
Panny i wdowy,1991
Perumthachan,1992
Poslední motýl,1991
La setta,1991
Sutoroberi rodo,1991
100 Days,1991
A unsprezecea porunca,1991
Agantuk,1991
Agnes Cecilia - En sällsam historia,1991
Ajooba,1991
Akayla,1991
L'amant,1992
Les amants du Pont-Neuf,1991
Amor e Dedinhos de Pé,1992
Der andere Blick,1991
Arthur Rimbaud - Une biographie,1991
At Play in the Fields of the Lord,1991
Au! Ograblenie poezda,1991
Aus heiterem Himmel,1991
L'avvoltoio può attendere,1991
Backdraft,1991
Barton Fink,1991
La Belle Noiseuse,1991
Divertimento,1992
Beta,1992
Bis ans Ende der Welt,1991
Bai Ho,1991
Boyz n the Hood,1991
Bugsy,1991
El bulto,1992
Cabeza de Vaca,1991
The Cabinet of Dr. Ramirez,1991
Cape Fear,1991
City Slickers,1991
City of Hope,1991
The Commitments,1991
Coolie No. 1,1995
Crooked Hearts,1991
Dà hóng denglong gaogao guà,1991
Dai yûkai,1991
Thalapathi,1991
Danzón,1991
The Dark Wind,1991
Deadly Currents,1991
Defending Your Life,1991
Dil Aashna Hai (...The Heart Knows),1992
Dil Hai Ki Manta Nahin,1991
A Divina Comédia,1991
The Doctor,1991
Dom pod zvyozdnym nebom,1991
La domenica specialmente,1991
The Doors,1991
Dozoku no ranjo,1991
Dream On,1991
Drengene fra Sankt Petri,1991
Dou baa,1991
Do haap II: Seung Hoi taam do sing,1991
Dying Young,1991
Eline Vere,1991
Les enfants du vent,1991
Les équilibristes,1991
Europa,1991
Face Value,1991
First Love Letter,1991
The Fisher King,1991
The Five Heartbeats,1991
For the Boys,1991
Frankie and Johnny,1991
Fried Green Tomatoes,1991
La Frontera,1991
Futari,1991
Gangstery v okeane,1991
Geniy,1991
Gizli Yüz,1991
Grand Canyon,1991
Gu ling jie shao nian sha ren shi jian,1991
Haque,1991
The Hard Way,1991
Hear My Song,1991
Hihintayin kita sa langit,1991
Homo Faber,1991
Hook,1991
Ho yat gwan joi loi,1991
Hum,1991
Hvíti víkingurinn,1991
I vozvrashchaetsya veter...,1992
The Importance of Being Earnest,1992
The Indian Runner,1991
Isabelle Eberhardt,1991
J'embrasse pas,1991
JFK,1991
Jacquot de Nantes,1991
Jigarwala,1991
Jungle Fever,1991
Kasba,1991
Khel,1992
Khoon Ka Karz,1991
Kit Kat,1991
Lamhe,1991
El largo invierno,1992
Let Him Have It,1991
Liebestraum,1991
Madame Bovary,1991
Madonna: Truth or Dare,1991
Malina,1991
Mane,1991
The Marrying Man,1991
Mayrig,1991
Mechenye,1991
Meeting Venus,1991
Merci la vie,1991
To meteoro vima tou pelargou,1991
Mezzaestate,1991
Milena,1991
Mississippi Masala,1991
Moj brat Aleksa,1991
Montréal vu par...,1991
Il muro di gomma,1991
Musuko,1991
Naked Lunch,1991
Narasimha,1991
Nebesa obetovannye,1991
Night on Earth,1991
Not Without My Daughter,1991
La note bleue,1991
Omohide poro poro,1991
Once Around,1991
One Good Cop,1991
Otkroveniye Ioanna Pervopechatnika,1991
Un paradiso senza biliardo,1991
Paradise,1991
Patthar Ke Phool,1991
The Pianist,1991
Point Break,1991
Pour Sacha,1991
Prahaar: The Final Attack,1991
Pratigyabadh,1991
Prem Qaidi,1991
Preminger: Anatomy of a Filmmaker,1991
The Prince of Tides,1991
Prospero's Books,1991
Kurbaan,1991
A Rage in Harlem,1991
Rambling Rose,1991
Rasstanemsya - poka khoroshie,1991
La reine blanche,1991
The Restless Conscience: Resistance to Hitler Within Germany 1933-1945,1992
Robin Hood: Prince of Thieves,1991
Ruan Ling Yu,1991
Rush,1991
Saajan,1991
Sanam Bewafa,1991
Saudagar,1991
Saugandh,1991
The Search for Signs of Intelligent Life in the Universe,1991
Sensou to seishun,1991
Seriat: Familie Tütüncü in der Fremde,1991
Shang Hai yi jiu er ling,1991
Si da jia zu zhi long hu xiong di,1991
The Silence of the Lambs,1991
Un submarí a les estovalles,1991
Svenska sexdårar,1991
Tacones lejanos,1991
Talk 16,1991
Terminator 2: Judgment Day,1991
Thelma & Louise,1991
Tous les matins du monde,1991
Toy Soldiers,1991
Transit,1991
True Colors,1991
Tsar Ivan Groznyy,1991
Eunmaneun oji anhneunda,1991
Urga,1991
Van Gogh,1991
Vne,1991
Where Angels Fear to Tread,1991
Wong Fei Hung,1991
Ng yee taam jeung Lui Lok juen: Lui lo foo,1991
Siu ngo gong woo: Dung Fong Bat Bai,1992
Year of the Gun,1991
Yumeji,1991
Zateryannyy v Sibiri,1991
1492: Conquest of Paradise,1992
588 rue Paradis,1992
L'absence,1992
Aitsu,1991
Alien³,1992
Ameriken boy,1992
American Heart,1992
American Me,1992
Angaar,1992
L'angelo con la pistola,1992
Apfelbäume,1992
As You Like It,1992
Assolto per aver commesso il fatto,1993
Baanoo,1992
The Babe,1992
Balwaan,1992
Fray Bartolomé de las Casas,1993
Basic Instinct,1992
Batman Returns,1992
La belle histoire,1992
El beso del sueño,1992
Besy,1992
La bionda,1993
The Inner Circle,1991
The Bodyguard,1992
Boomerang,1992
Bowl of Bone: Tale of the Syuwe,1992
Dracula,1992
Chaplin,1992
La chasse aux papillons,1992
Chickpeas,1992
Christopher Columbus: The Discovery,1992
Chuvstvitelnyy militsioner,1992
Chyornyy kvadrat,1993
City of Joy,1992
Conte d'hiver,1992
Crni bombarder,1992
The Crying Game,1992
Daens,1992
Daughters of the Dust,1991
Deedar,1992
Deutschfieber,1992
Dharavi,1992
Diên Biên Phú,1992
The Distinguished Gentleman,1992
Don Quijote de Orson Welles,1992
Donne con le gonne,1991
Do sing dai hang: San gor chuen kei,1992
Do sing dai hang II: Ji juen mou dik,1992
Dust Devil,1992
Dzayn barbaro...,1991
L'envers du décor: Portrait de Pierre Guffroy,1992
Isini,1992
Gibel Otrara,1991
Holod 33,1991
Far and Away,1992
Damage,1992
Fei hu wai zhuan,1993
A Few Good Men,1992
La febre d'Or,1993
Final Analysis,1992
Flodder in Amerika!,1992
Frida - med hjertet i hånden,1991
Geet,1992
Juninin no yasashii nihonjin,1991
Gamis tsekva,1991
Ginevra,1994
Den goda viljan,1992
Gô-hime,1992
Le Grand Pardon II,1992
Groza nad Rusyu,1992
Guelwaar,1992
La guerre sans nom,1992
Hashi no nai kawa,1992
Hedd Wyn,1992
Heer Ranjha,1992
Hero,1992
Hikarigoke,1992
Hit the Dutchman,1992
Hoffa,1992
Home Alone 2: Lost in New York,1992
Howards End,1992
A három növér,1991
IP5: L'île aux pachydermes,1992
Iki Kadin,1992
Immaculate Conception,1992
Indochine,1992
Beskonechnost,1992
Innocent Blood,1992
L'instinct de l'ange,1993
Jennifer Eight,1992
Jo Jeeta Wohi Sikandar,1992
Gaebyeok,1991
Kallt krig i kallt landskap,1992
Kazino,1992
Khiladi,1992
Khuda Gawah,1992
Kinder der Landstrasse,1992
Kinderspiele,1992
Knight Moves,1992
Kodeks molchaniya-2,1992
Krystallines nyhtes,1992
Kshatriya,1993
Gyeongmajang ganeun kil,1991
L.627,1992
Laat Saab,1992
El lado oscuro del corazón,1992
Il ladro di bambini,1992
Al-lail,1992
Lam Gong juen: Fan fei jo fung wan,1992
Lat sau san taam,1992
The Last of the Mohicans,1992
A League of Their Own,1992
Lethal Weapon 3,1992
Lorenzo's Oil,1992
Un lugar en el mundo,1992
Luna Park,1992
Bitter Moon,1992
Mac,1992
Malcolm X,1992
Maledetto il giorno che t'ho incontrato,1992
Manufacturing Consent: Noam Chomsky and the Media,1992
Max & Jeremie,1992
Hornsby e Rodriguez - Sfida criminale,1992
Mere Sajana Saath Nibhana,1992
Merlin,1993
Minbô no onna,1992
Miss Beatty's Children,1992
Mit Verlust ist zu rechnen,1993
Mr. Bond,1992
Mr. Saturday Night,1992
Muqabla,1993
My Cousin Vinny,1992
Need vanad armastuskirjad,1992
Newsies,1992
Nishchaiy,1992
November Days,1991
Les nuits fauves,1992
Of Mice and Men,1992
Onna goroshi abura no jigoku,1992
Urideului ilgeuleojin yeongung,1992
Passion Fish,1992
Patriot Games,1992
Paayal,1992
Pensavo fosse amore... invece era un calesse,1991
La peste,1992
Painappuru tsuâzu,1992
The Playboys,1992
The Player,1992
The Power of One,1992
Pratikar,1991
Prem Deewane,1992
Beyond Justice,1991
Pure Country,1992
Radio Flyer,1992
Die Reise von St. Petersburg nach Moskau,1992
Resistance,1992
A River Runs Through It,1992
Roja,1992
Salt on Our Skin,1992
Sangatsu no raion,1991
Sangeet,1992
Sapne Saajan Ke,1992
Sarafina!,1992
Scent of a Woman,1992
Schtonk,1992
Seeing Red,1992
La sentinelle,1992
Tsenzuru k pamyati ne dopuskayu,1992
Shadow of the Wolf,1992
Shang Hai huang di: Sui yue feng yun,1993
Shinde mo ii,1992
Shining Through,1992
Shola Aur Shabnam,1992
Siméon,1992
Sneakers,1992
Sofie,1992
El sol del membrillo,1992
Storyville,1992
Suryavanshi,1992
Svart Lucia,1992
Svo á jörðu sem á himni,1992
Szuler,1992
Söndagsbarn,1992
Tadipaar,1993
Taiga,1992
Tengoku no Taizai,1992
Thevar Magan,1992
Thunderheart,1992
Tirangaa,1992
Tito i ja,1992
Le tombeau d'Alexandre,1993
Topâzu,1992
Toys,1992
Twin Peaks: Fire Walk with Me,1992
Twogether,1992
Unforgiven,1992
Unlawful Entry,1992
Used People,1992
V toy oblasti nebes,1992
Vacanze di Natale '91,1991
El viaje,1992
Virodhi,1992
When the Party's Over,1992
White Men Can't Jump,1992
Wild Orchid II: Two Shades of Blue,1991
Wind,1992
Wong Fei Hung II: Nam yee tung chi keung,1992
Ng yee taam jeung: Lui Lok juen - Part II,1991
Yalgaar,1992
Zhou Enlai,1992
Az álommenedzser,1994
Änglagård,1992
La última siembra,1991
The Innocent,1993
Aaina,1993
Aankhen,1993
Aasoo Bane Angaarey,1993
Aadmi Khilona Hai,1993
The Age of Innocence,1993
Al lupo al lupo,1992
Alive,1993
Anari,1993
Angely v rayu,1993
Un'anima divisa in due,1993
Anmol,1993
Anni 90 - Parte II,1993
Ard el ahlam,1993
La ardilla roja,1993
Arizona Dream,1993
Aspen Extreme,1993
Ba wang bie ji,1993
Baazigar,1993
The Baby of Mâcon,1993
Bad Boy Bubby,1993
The Ballad of Little Jo,1993
The Bed You Sleep In,1993
Being Human,1994
Belle van Zuylen - Madame de Charrière,1993
Bhagwat Geeta,1993
Bokura wa minna ikiteiru,1993
Bokuto kidan,1992
Bopha!,1993
Bound by Honor,1993
Boys' Shorts: The New Queer Cinema,1993
A Bronx Tale,1993
Sezonat na kanarchetata,1993
Cap Tourmente,1993
Carlito's Way,1993
El caso María Soledad,1993
Cel mai iubit dintre pamânteni,1993
Century,1993
Chandra Mukhi,1993
Chopin - Bilder einer Trennung,1993
Chtoby vyzhit,1992
Cliffhanger,1993
Daibyônin,1993
Dalaal,1993
Damini,1993
The Dark Half,1993
Dedictví aneb Kurvahosigutntag,1992
Demolition Man,1993
Dil Hi To Hai,1992
Dil Tera Aashiq,1993
De domeinen Ditvoorst,1992
Dove siete? Io sono qui,1993
Dragon: The Bruce Lee Story,1993
Drehbuch - Die Zeiten,1993
Dwa ksiezyce,1993
Dyuba-Dyuba,1992
Ek Hi Raasta,1993
Der Fall Lucona,1993
Falling Down,1993
Fearless,1993
Fiorile,1993
The Firm,1993
Flesh and Bone,1993
La Florida,1993
Free Willy,1993
The Fugitive,1993
Gardish,1993
Germinal,1993
Geronimo: An American Legend,1993
Gettysburg,1993
God sobaki,1994
Golgota,1994
Grand bonheur,1993
Gumrah,1993
Sugar Hill,1993
Hatachi no binetsu,1993
Heaven & Earth,1993
Hoffman's honger,1993
The Hour of the Pig,1993
The House of the Spirits,1993
Household Saints,1993
Xi meng ren sheng,1993
Hua hun,1994
Hum Hain Rahi Pyar Ke,1993
Hundan al Belgrano,1996
Hwaomkyung,1993
In Custody,1994
In the Line of Fire,1993
In the Name of the Father,1993
Indecent Proposal,1993
Jaagruti,1993
Jardines colgantes,1993
Jeanne la Pucelle I - Les batailles,1994
Jeanne la Pucelle II - Les prisons,1994
Le journal de Lady M,1993
The Joy Luck Club,1993
Jurassic Park,1993
Kalifornia,1993
Kanehsatake: 270 Years of Resistance,1993
Khal Nayak,1993
Kika,1993
King Uncle,1993
Kodeks beshchestiya,1993
Kontesa Dora,1993
Kærlighedens smerte,1992
Lan feng zheng,1993
Last Action Hero,1993
Little Buddha,1993
Lootere,1993
Lost in Yonkers,1993
Long min,1992
Ma saison préférée,1993
Die Macht der Bilder: Leni Riefenstahl,1993
Mâdadayo,1993
Madame L'Eau,1993
Made in America,1993
Madregilda,1993
The Man Without a Face,1993
Married to It,1991
Matar al abuelito,1993
Mazeppa,1993
Mr. Jones,1993
Mrs. Doubtfire,1993
Much Ado About Nothing,1993
My Life,1993
The Mystery of Edwin Drood,1993
Naked,1993
Neak sre,1994
Needful Things,1993
Nesravnennaya,1993
Le nombril du monde,1993
The Nostradamus Kid,1993
Novia que te vea,1994
Ohikkoshi,1993
Okoge,1992
Padma Nadir Majhi,1993
Parampara,1993
The Pelican Brief,1993
A Perfect World,1993
Perfume de Gardênia,1992
Pétain,1993
Philadelphia,1993
Phool Aur Angaar,1993
The Piano,1993
Posse,1993
The Program,1993
El pájaro de la felicidad,1993
Rajdhani,1993
Der Reichseinsatz - Zwangsarbeiter in Deutschland,1994
The Remains of the Day,1993
Rising Sun,1993
Roop Ki Rani Choron Ka Raja,1993
Roulez jeunesse!,1993
Ruby in Paradise,1993
Rudaali,1993
Rudy,1993
Den russiske sangerinde,1993
Sahibaan,1993
The Salt Water People,1993
Sankofa,1993
Schindler's List,1993
Il segreto del bosco vecchio,1993
Serye volki,1993
Shadowlands,1993
Short Cuts,1993
Silent Cries,1993
Sir,1993
Sista dansen,1993
Six Degrees of Separation,1993
Smoking/No Smoking,1993
Sognando la California,1992
Sommersby,1993
Seopyeonje,1993
Sort høst,1993
Stalingrad,1993
Suraj Ka Satvan Ghoda,1992
Swing Kids,1993
A színésznö és a halál,1995
Tango feroz: la leyenda de Tanguito,1993
The Thing Called Love,1993
Thiruda Thiruda,1993
This Boy's Life,1993
Time Indefinite,1993
Tombstone,1993
Toki rakujitsu,1992
Tout ça... pour ça!,1993
The Trial,1993
True Romance,1993
The Trust,1993
Udzinarta mze,1992
Une nouvelle vie,1993
Vale Abraão,1993
Vashi paltsy pakhnut ladanom!,1993
Vidheyan,1994
Warheads,1993
What's Eating Gilbert Grape,1993
What's Love Got to Do with It,1993
Die Wismut,1993
Wong Fei Hung V: Tit gai dau ng gung,1993
Wrestling Ernest Hemingway,1993
Wu yan de shan qiu,1992
Yi dai xiao xiong: San zhi qi,1993
You Seng,1993
Zapakh oseni,1993
Zohar,1993
Zoo,1993
¡Dispara!,1993
101byeonjae propose,1993
119,1994
1942: A Love Story,1994
Aazmayish,1995
Ab nach Tibet!,1994
Ai no shinsekai,1994
Ai qing wan sui,1994
Alma Corsária,1993
Amaanat,1994
Amdaeng Muen kab nai Rid,1994
Amigomío,1994
Amor propio,1994
Andaz,1994
Andaz Apna Apna,1994
Anjaam,1994
At Ground Zero,1994
Bandit Queen,1994
Barnabo delle montagne,1994
Black Widow Wajah Ayu,1995
Blown Away,1994
Bô no kanashimi,1994
Bollywood,1994
Bosna!,1994
Brother Minister: The Assassination of Malcolm X,1994
Bésame mucho,1996
Casas de fuego,1995
Chaand Kaa Tukdaa,1994
Jeungbal,1994
The Circle Game,1994
City Slickers II: The Legend of Curly's Gold,1994
Clear and Present Danger,1994
The Client,1994
Cobb,1994
Color of Night,1994
Con gli occhi chiusi,1994
Country Life,1994
Crooklyn,1994
Crumb,1994
Cultivating Charlie,1994
Darr,1993
Wonder Boy - De sueur et de sang,1994
Zalazak stoljeca (Testament L.Z.),1994
Zenshin Shosetsuka,1994
Dharkan,1995
Disclosure,1994
Dolores Claiborne,1995
Don't Pave Main Street: Carmel's Heritage,1994
Drive-by Shooting,1993
Du fond du coeur,1994
Dou san 2,1994
Du li shi dai,1994
Duo sang,1994
Le démon au féminin,1994
Ed Wood,1994
Eena Meena Deeka,1994
El-Bahr Bi-Yedhak Ley,1994
Enjeru dasuto,1994
Erotique,1994
La estrategia del caracol,1993
Exit to Eden,1994
Farinelli,1994
Fei xia a da,1994
La fille de d'Artagnan,1994
For the Moment,1993
Foreign Bodies,1996
Forrest Gump,1994
Four Weddings and a Funeral,1994
Frankenstein,1994
Fresh,1994
Fuyu no kappa,1994
The Getaway,1994
Giorgino,1994
Gopi Kishan,1994
Greedy,1994
Guyver: Dark Hero,1994
Heisei tanuki gassen ponpoko,1994
Hey Stranger,1994
High School II,1994
Hollywood Kid Eu Saeng-ae,1994
Hong fen,1995
Hoop Dreams,1994
Houseguest,1995
Fa kei Siu Lam,1994
The Hudsucker Proxy,1994
Hum Aapke Hain Koun..!,1994
Huo zhe,1994
I Love Trouble,1994
I'll Do Anything,1994
Ich gelobe,1994
Ikke Pe Ikka,1994
Immortal Beloved,1994
Insaniyat,1994
Interview with the Vampire: The Vampire Chronicles,1994
Al-irhabi,1994
Iz,1995
Jai Kishen,1994
Jason's Lyric,1994
Jimmy Hollywood,1994
Jonas in the Desert,1994
The Jungle Book,1994
Kabhi Haan Kabhi Naa,1994
Kalla khrung nueng... muea chao nee,1994
Kaspar Hauser,1993
Kawao tee Bangpleng,1994
Khuddar,1994
Krantiveer,1994
Kurochka Ryaba,1994
Lamarca,1994
Lamerica,1994
The Last Tattoo,1994
Legends of the Fall,1994
Leila Sakhina,1995
Little Big League,1994
Little Women,1994
Loku Duwa,1994
Lunnye psy,1995
Makedonska saga,1993
Main Khiladi Tu Anari,1994
Mammo,1994
Mario und der Zauberer,1994
Master i Margarita,2006
Maverick,1994
Megint tanú,1995
Metal Skin,1994
Min fynske barndom,1994
Mina Tannenbaum,1994
Miracle on 34th Street,1994
Al-mohager,1994
Mohra,1994
Montand,1994
Il mostro,1994
Mr. Azaad,1994
Mrs. Parker and the Vicious Circle,1994
Mujeres insumisas,1995
Mukta,1994
Na krásnom modrom Dunaji,1994
Natsu no niwa: The Friends,1994
Natural Born Killers,1994
Nell,1994
The New Age,1994
No Escape,1994
Nostradamus,1994
Los Náufragos,1994
OcchioPinocchio,1994
Okno v Parizh,1993
Onna-zakari,1994
Pao Da Shuang Deng,1994
The Paper,1994
La pasión turca,1994
Les patriotes,1994
Perdiamoci di vista,1994
Pillertrillaren,1994
A Pin for the Butterfly,1994
La piste du télégraphe,1994
Paramaatma,1994
Pred dozhdot,1994
Predskazaniye,1993
Principio y fin,1993
Prêt-à-Porter,1994
Pulp Fiction,1994
Quiz Show,1994
Raja Babu,1994
La reina de la noche,1994
La reine Margot,1994
Renaissance Man,1994
The River Wild,1994
The Road to Wellville,1994
Samt El Qusur,1994
Sangdil Sanam,1994
Sangharsh,1999
Sarahsarà,1994
Sarek al-farah,1994
La serva amorosa,1996
Sexo oral,1994
The Shawshank Redemption,1994
Shijûshichinin no shikaku,1994
Die Sieger,1994
Sin compasión,1994
Smierc jak kromka chleba,1994
Il sogno della farfalla,1994
Speed,1994
Star Trek: Generations,1994
Stargate,1994
Stunttman,1994
Suhaag,1994
Surat Untuk Bidadari,1994
Swaham,1994
Sátántangó,1994
Taebaek sanmaek,1994
Hikayatul jawahiri thalath,1995
Teesra Kaun?,1994
That's Entertainment! III,1994
Tin yue dei,1994
Tiden är en dröm,1999
Tom & Viv,1994
Trapped in Paradise,1994
True Lies,1994
Tsahal,1994
Tzedek,1994
Unishe April,1994
Utomlennye solntsem,1994
Uvlecheniya,1994
Vanya on 42nd Street,1994
Varsa Laxmicha,1994
Veillées d'armes,1994
Das Versprechen,1994
Vijaypath,1994
Los vuelcos del corazón,1996
La véritable histoire d'Artaud le momo,1994
Waati,1995
The War,1994
Wes Craven's New Nightmare,1994
When a Man Loves a Woman,1994
Hayan chonjaeng,1992
Bakit dilaw ang gitna ng bahag-hari?,1994
Winterreise,1994
Wolf,1994
Wu Kui,1994
Wyatt Earp,1994
Xi chu bawang,1994
Yaar Gaddar,1994
Yang guang can lan de ri zi,1994
Yeh Dillagi,1994
Yin shi nan nu,1994
Zamok,1994
Zeyaret el-Sayed el-Rais,1994
Zorn,1994
Änglagård - Andra sommaren,1994
30:e november,1995
Aao Pyaar Karen,1994
Ab Insaf Hoga,1995
Akropol,1996
Agnichakra,1997
Ahankaar,1995
Akele Hum Akele Tum,1995
Akwarium,1996
Alfred,1995
The American President,1995
Andolan,1995
Angels and Insects,1995
Anne Frank Remembered,1995
Ao Sul,1995
Apollo 13,1995
L'appât,1995
Ashita,1995
Assassins,1995
An Awfully Big Adventure,1995
Bad Boys,1995
Barsaat,1995
Batman Forever,1995
Betaaj Badshah,1994
Bombay,1995
Boys on the Side,1995
Braveheart,1995
Brennendes Herz,1996
The Bridges of Madison County,1995
Bulan Tertusuk Ilalang,1995
Caballos salvajes,1995
El Callejón de los Milagros,1995
Carrington,1995
Casino,1995
Cazadores de utopías,1996
Chao ji da guo min,1995
La cité des enfants perdus,1995
Clockers,1995
A Comédia de Deus,1995
Copycat,1995
Criminal,1994
Crimson Tide,1995
The Crossing Guard,1995
Cutthroat Island,1995
Xích lô,1995
La cérémonie,1995
A ba de qing ren,1995
Dead Man,1995
Dead Man Walking,1995
Dead Presidents,1995
Devotion,1995
Die Hard: With a Vengeance,1995
Dilwale Dulhania Le Jayenge,1995
The Don,1995
Dukhovnye golosa. Iz dnevnikov voyny. Povestvovanie v pyati chastyakh,1995
Dushmani: A Violent Love Story,1995
Eno nakano bokuno mura,1996
East Meets West,1995
Élisa,1995
Eskapo,1995
Feast of July,1995
First Knight,1995
The Flor Contemplacion Story,1995
French Kiss,1995
Funny Bones,1995
Georgia,1995
GoldenEye,1995
Gospa,1995
Gunehgar,1995
Habit,1995
Hank Aaron: Chasing the Dream,1995
Haut bas fragile,1995
Heat,1995
Higher Learning,1995
Himeyuri no Tô,1995
Hotel Sorrento,1995
How to Make an American Quilt,1995
The Hunted,1995
Le hussard sur le toit,1995
Jallaad,1995
Janam Kundli,1995
Jefferson in Paris,1995
Kalte Heimat,1995
Kamikaze takushî,1995
Karan Arjun,1995
Karuththamma,1994
Kjærlighetens kjøtere,1995
Der Kopf des Mohren,1995
Krestonosets,1995
Kristin Lavransdatter,1995
Kun en pige,1995
Lang leve de koningin,1995
Last of the Dogmen,1995
Leaving Las Vegas,1995
La ley de la frontera,1995
Libertarias,1996
Lit foh chin che,1995
Liebe Lügen,1995
Losing Isaiah,1995
Love Letter,1995
Lust och fägring stor,1995
Madame Butterfly,1995
Mâkusu no yama,1995
Margaret's Museum,1995
Memorîzu,1995
Mimi wo sumaseba,1995
Les misérables,1995
Mizu no naka no hachigatsu,1995
Mr. Holland's Opus,1995
Murder in the First,1995
My Family,1995
N'oublie pas que tu vas mourir,1995
Naajayaz,1995
Nagisa no Shindobaddo,1995
Naked Jane,1995
Nanjing 1937,1995
Naaraaz,1994
Nausikaja,1995
The Net,1995
Germans,1996
Nixon,1995
No te mueras sin decirme adónde vas,1995
Le nouveau monde,1995
Oh Darling Yeh Hai India,1995
Once Upon a Time... When We Were Colored,1995
Othello,1995
Outbreak,1995
Paket aranzman,1995
